ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
129.63180163027,16.64454322948, 658065577604676096,3.1921,0.3604,-28.834,0.374,-38.343,0.252, 3.92e-02,  0,0.991,19.288510, 2.870541,NOT_AVAILABLE,0,,0.78
129.59093425369,16.71323236471, 658069361470348160,3.6724,0.2852,-35.655,0.298,-3.808,0.207, 2.38e-02,  0,1.056,19.000483, 3.104706,NOT_AVAILABLE,0,,0.98
129.17622426668,16.71831676171, 658078741680107136,3.5452,0.0451,-27.824,0.049,-17.901,0.035, 3.12e-02,  0,2.322,13.604392, 1.325501,NOT_AVAILABLE,1,,0.82
129.39966028491,16.71228388874, 658080524090898944,3.4042,0.0918,-30.989,0.084,-21.594,0.062, 2.18e-02,  0,0.996,17.182827, 2.349621,NOT_AVAILABLE,0,  276.6177,1.0
129.46736388324,16.81817857851, 658083582107649920,3.4953,0.3549,-29.383,0.325,-36.229,0.237, 5.02e-02,  0,1.101,19.346160, 2.993856,NOT_AVAILABLE,0,,0.88
130.64008204451,16.72196784389, 658219096920187136,6.8022,0.2391,-58.058,0.269,-64.022,0.202, 5.08e-02,  0,1.012,18.949284, 3.180014,NOT_AVAILABLE,0,  175.3698,1.0
130.67565228337,16.7880114593, 658226076238065280,5.8364,0.0985,-22.846,0.105,-17.651,0.081, 1.71e-02,  1,1.043,17.460052, 2.936716,NOT_AVAILABLE,0,  172.1072,1.0
131.60112843282,17.04304862706, 658290084134608000,6.4335,0.1091,-44.477,0.114,-3.026,0.086, 2.53e-02,  0,7.549,12.477258, 1.316251,VARIABLE     ,3,,1.0
131.84527498428,17.18871502591, 658298300408182016,4.0351,0.1419,-20.594,0.147,-40.857,0.104, 1.73e-02,  0,1.049,18.050617, 2.583626,NOT_AVAILABLE,0,  231.1369,0.74
131.029768852,16.85413421681, 658306031349296128,3.7429,0.0853,-69.355,0.08,7.466,0.058, 1.54e-02,  0,0.994,17.061220, 2.273873,NOT_AVAILABLE,0,  273.5349,1.0
131.15242026812,16.83785507979, 658306340586934528,6.7933,0.1642,-19.659,0.158,-72.324,0.111, 9.78e-03,  0,0.96,18.129568, 3.206222,NOT_AVAILABLE,0,  163.9476,0.54
131.36900838366,16.94565022654, 658311838145049600,17.1562,0.0185,-80.475,0.02,-10.15,0.014, 2.65e-02,  0,0.899, 9.101462, 0.925091,NOT_AVAILABLE,0,   58.1933,1.0
131.22139260661,16.96693161038, 658314445189486848,6.4701,0.1202,-30.359,0.122,-14.568,0.09, 2.31e-02,  0,0.97,17.584682, 3.109404,NOT_AVAILABLE,0,  152.2616,1.0
131.0806339455,16.93767623675, 658320015762799232,3.5184,0.0324,-36.509,0.031,4.77,0.026, 1.90e-02,  1,1.003,15.059983, 1.804464,NOT_AVAILABLE,0,  279.4133,0.9
131.06506145567,17.01318286791, 658321287073112832,17.1149,0.0608,-60.307,0.059,-37.566,0.05, 1.36e-02,  1,1.059,16.241076, 3.271154,NOT_AVAILABLE,0,,1.0
130.91805751245,16.95949651531, 658322352225018624,9.6563,0.0267,-32.221,0.028,-37.284,0.023, 2.40e-02,  0,1.302,11.374663, 1.199720,VARIABLE     ,0,  104.1933,1.0
130.78331107552,16.95872877233, 658323039419796224,2.571,0.1649,-40.885,0.172,-31.289,0.128, 1.46e-02,  0,1.039,18.265526, 2.170551,NOT_AVAILABLE,0,  347.4817,1.0
131.08841486025,17.11356374638, 658331251397389696,3.4223,0.0271,-42.027,0.028,20.069,0.023, 3.12e-02,  0,1.141,14.313297, 1.456193,NOT_AVAILABLE,0,  283.2430,0.64
130.98526511952,17.11449107406, 658331796857425152,5.2919,0.4119,-35.252,0.403,-86.856,0.269, 4.81e-02,  0,1.017,19.604595, 0.410070,NOT_AVAILABLE,0,,0.64
131.50108103856,17.01710697207, 658335237126863360,2.6003,0.0476,-50.656,0.051,-1.291,0.037, 3.59e-02,  0,2.276,14.194968, 1.155107,NOT_AVAILABLE,0,,1.0
131.51118145123,17.02152434221, 658335615083984128,5.4881,0.0759,-37.313,0.079,-11.198,0.057, 3.05e-02,  0,1.001,16.880274, 2.722939,NOT_AVAILABLE,0,  185.3242,1.0
131.4541214969,17.06514570569, 658336710299988864,3.1479,0.1746,-34.161,0.186,-4.157,0.135, 2.04e-02,  0,1.057,18.246399, 2.733204,NOT_AVAILABLE,0,  280.5686,0.8
131.57190066212,17.12068447134, 658338634445155200,4.0435,0.3609,-43.024,0.381,-26.547,0.282, 1.25e-02,  0,0.963,19.481771, 3.053455,NOT_AVAILABLE,0,,1.0
131.39946386596,17.11544953846, 658340077554371200,3.6272,0.392,-34.635,0.415,-21.105,0.314, 2.82e-02, 19,1.344,19.166904, 2.799250,NOT_AVAILABLE,0,,1.0
131.33228894107,17.10713639488, 658340558590781056,2.8975,0.4405,-34.436,0.437,-29.799,0.359, 1.54e-02,  0,1.09,19.472030, 2.523960,NOT_AVAILABLE,0,,0.98
131.37147032671,17.13737280493, 658341112642121344,1.5629,0.4382,-55.03,0.424,-30.81,0.33, 1.89e-02,  0,0.971,19.589048, 1.913670,NOT_AVAILABLE,0,,1.0
131.67823853081,17.17718092057, 658344406881750400,3.5846,0.0965,-36.987,0.107,-10.645,0.08, 1.39e-02,  0,1.01,17.634563, 2.870054,NOT_AVAILABLE,0,  284.7267,1.0
131.65274869838,17.25914029419, 658345751206771072,5.8839,0.2944,-33.792,0.321,-8.541,0.233, 1.42e-01,  0,3.352,17.423674, 3.133869,NOT_AVAILABLE,0,,1.0
131.70128412915,17.26632316885, 658346983862125824,4.4772,0.0335,-41.48,0.036,5.028,0.026, 2.56e-02,  2,1.8,11.562425, 0.812636,NOT_AVAILABLE,0,  218.8607,1.0
131.70073197476,17.26654185789, 658346988157350016,4.2176,0.0702,-39.469,0.083,1.045,0.066, 1.57e-02,  7,4.121,13.231178, 1.315796,NOT_AVAILABLE,0,,1.0
131.33760290841,17.16980055659, 658352996815475712,5.5538,0.0182,-19.581,0.016,-41.072,0.014, 3.47e-02,  0,1.005,12.343070, 1.115182,NOT_AVAILABLE,0,  177.9971,0.9
131.3397228588,17.1666475004, 658352996816075648,6.7672,0.6653,-45.87,0.646,39.805,0.484, 2.46e-02,  0,1.083,19.886560, 2.777876,NOT_AVAILABLE,0,,1.0
131.2565427691,17.1636871202, 658353477852179968,3.654,0.0162,-42.685,0.017,-13.578,0.014, 3.53e-02,  0,0.939,12.588222, 0.991342,NOT_AVAILABLE,0,  269.7932,1.0
131.22480997085,17.26432196048, 658357296079915008,3.7417,0.0794,-30.323,0.085,-32.572,0.065, 2.33e-02,  0,1.057,16.318312, 2.397661,NOT_AVAILABLE,0,,1.0
131.42790787975,17.33451990026, 658362346959321088,6.6078,0.1202,-32.368,0.127,-32.846,0.098, 2.60e-01, 36,1.818,16.441616, 2.615251,NOT_AVAILABLE,0,,1.0
131.42762579144,17.33457793035, 658362346960410112,6.581,0.1091,-32.513,0.116,-32.78,0.092, 2.81e-01,  2,1.503,16.550497, 2.669694,NOT_AVAILABLE,0,,1.0
131.44525785002,17.3982519078, 658366126531623680,3.215,0.8195,-25.249,0.87,-54.775,0.645, 3.47e-02,  0,1.026,20.497564, 2.279326,NOT_AVAILABLE,0,,0.8
131.35718385987,17.40427277223, 658366710647180544,2.6888,0.0337,-30.719,0.036,-20.7,0.025, 2.96e-02,  0,0.965,15.455126, 1.594675,NOT_AVAILABLE,0,  395.1608,0.78
131.31674170236,17.42714670516, 658367019884826496,2.8037,0.0971,-28.904,0.106,-39.288,0.074, 2.43e-02,  0,1.07,17.423560, 2.441622,NOT_AVAILABLE,0,  337.5988,0.76
130.1586619403,16.71023695589, 658385299265956096,2.6424,0.0399,-53.485,0.043,-3.653,0.034, 1.90e-02,  0,0.96,15.693213, 1.677575,NOT_AVAILABLE,0,  396.5682,1.0
130.10553421932,16.67423200015, 658396496244838656,3.2971,0.1302,-40.219,0.141,-2.393,0.111, 1.72e-02,  0,0.945,17.939976, 2.305323,NOT_AVAILABLE,0,  279.1424,1.0
130.19185687876,16.81870159152, 658399588621005312,5.344,0.1776,-35.851,0.181,-10.436,0.121, 2.27e-02,  0,1.018,18.230936, 3.218414,NOT_AVAILABLE,0,  211.3528,1.0
130.19751582841,16.81429220918, 658399588621368320,3.5738,0.333,-58.416,0.35,-18.085,0.223, 2.36e-02,  0,1.129,19.135225, 2.695438,NOT_AVAILABLE,0,,1.0
130.11288178942,16.78511914458, 658399726059920896,4.9504,0.0753,-33.032,0.081,-11.017,0.059, 1.74e-02,  0,3.875,11.751920, 0.978937,NOT_AVAILABLE,0,  192.9623,1.0
130.16306443632,16.82918255926, 658400314471542784,3.6949,0.0261,-31.076,0.028,-48.943,0.021, 2.15e-02,  1,1.036,14.703316, 1.721705,NOT_AVAILABLE,0,,0.9
130.03629350597,16.80016898677, 658401517062394240,2.6857,0.0479,-24.408,0.055,-32.809,0.04, 1.59e-02,  0,0.909,16.002407, 1.652288,NOT_AVAILABLE,0,  388.9558,0.66
130.06525548351,16.89483761699, 658404673867167104,2.5694,0.1278,-31.445,0.137,-35.11,0.095, 2.71e-02,  0,1.038,17.802616, 2.647844,NOT_AVAILABLE,0,  412.8974,0.76
130.49071091975,16.70088910317, 658405739014476544,10.8895,0.0394,-64.601,0.042,7.595,0.035, 2.86e-02,  0,0.988,15.400089, 2.469196,NOT_AVAILABLE,0,   94.8041,1.0
130.54233667404,16.85190180629, 658409248003575680,2.8274,0.1444,-67.11,0.156,-43.557,0.112, 2.05e-02,  0,1.055,18.117113, 2.615835,NOT_AVAILABLE,0,  455.8081,1.0
130.40147892933,16.85603641314, 658412885840320896,1.025,0.5281,-39.742,0.551,-12.601,0.398, 2.72e-02,  0,1.012,19.772898, 1.999981,NOT_AVAILABLE,0,,0.82
130.76301124873,16.94798081886, 658416841505796096,7.5438,0.1838,-67.112,0.186,-8.558,0.138, 2.10e-02,  0,1.002,18.352905, 3.435061,NOT_AVAILABLE,0,  149.7262,1.0
130.53448036737,16.93605700917, 658418800010837120,10.4606,0.0183,-151.399,0.02,49.584,0.014, 2.00e-02,  0,1.397,12.056686, 1.349381,NOT_AVAILABLE,0,   95.3324,1.0
130.28467945215,16.87831111741, 658423610374223872,4.5512,0.0677,-35.069,0.073,-11.267,0.053, 2.53e-02,  0,0.986,16.567083, 2.254104,NOT_AVAILABLE,0,,1.0
130.28717696759,16.90909775273, 658423812236606464,5.6726,0.2434,-24.535,0.246,-0.67,0.173, 3.04e-02,  0,0.969,18.527330, 3.419621,NOT_AVAILABLE,0,  188.1806,0.52
130.34673347144,16.92040949465, 658425152266409216,2.4075,0.1743,-38.77,0.183,-16.642,0.127, 1.90e-02,  0,1.043,18.091553, 2.498304,NOT_AVAILABLE,0,  365.9839,0.98
130.41294417217,16.9492630576, 658425637598776960,4.7434,0.0309,-30.0,0.033,-1.059,0.026, 2.83e-02,  1,1.032,15.102014, 2.016887,NOT_AVAILABLE,0,,0.94
130.17688855355,16.91862799873, 658427351290217856,5.394,0.5667,-30.783,0.631,-14.939,0.387, 6.87e-02,  0,1.16,19.822487, 2.818283,NOT_AVAILABLE,0,,1.0
130.18163441993,16.93370273287, 658427596103799296,6.6044,0.1354,-17.814,0.139,-15.813,0.094, 2.92e-02,  0,0.993,17.681467, 3.101438,NOT_AVAILABLE,0,  146.5041,0.92
130.49224067278,17.01870372086, 658432131589377408,1.2591,0.2444,-55.758,0.282,-75.28,0.187, 2.07e-02,  0,1.044,18.874857, 1.811823,NOT_AVAILABLE,0,  478.6044,0.9
