ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,RAJ2000,DEJ2000,prob
133.29765282173,10.38632305935,5.3062,1.1406,-10.175,1.193,4.996,0.965, 3.15e-01,  0,2.337,19.670470, 2.582624,NOT_AVAILABLE,0,133.29769879521, 10.38630085653,0.58
133.27164690702,10.43012099412,2.3274,0.1826,-20.673,0.176,1.488,0.129, 8.35e-03,  0,1.026,18.381600, 2.631384,NOT_AVAILABLE,0,133.27174033224, 10.43011438101,0.9
133.46411019114,10.5534287229,4.5244,0.6423,-12.851,0.59,48.855,0.385, 4.16e-02,  0,0.971,19.984150, 0.468069,NOT_AVAILABLE,0,133.46416829008, 10.55321158808,0.7
133.43231317779,10.59168828519,5.1463,0.1033,-9.133,0.105,-10.696,0.077, 7.52e-02,  0,1.006,17.571120, 2.811708,NOT_AVAILABLE,0,133.43235447449, 10.59173582475,0.62
133.547533203,10.58032973303,2.5631,0.0367,-17.173,0.035,2.738,0.024, 4.24e-02,  1,1.023,15.398341, 1.602745,NOT_AVAILABLE,0,133.54761084957, 10.58031756511,0.62
133.59966124141,10.59884159215,1.9389,0.0159,-23.116,0.016,-2.763,0.011, 6.28e-02,  0,0.978,13.255816, 0.793153,NOT_AVAILABLE,0,133.59976576219, 10.59885387229,0.86
133.69874427696,10.66571645943,2.7065,0.0912,-20.322,0.087,10.829,0.054, 4.94e-02,  1,1.012,17.117718, 2.275858,NOT_AVAILABLE,0,133.69883618626, 10.66566833005,0.92
133.69560721273,10.66845331546,2.6665,0.0728,-20.381,0.07,10.674,0.045, 4.41e-02,  0,1.061,16.727343, 2.158901,NOT_AVAILABLE,0,133.69569938792, 10.66840587609,0.92
133.67155592584,10.68575567379,2.3234,0.3732,-19.797,0.371,-6.252,0.223, 4.83e-02,  0,0.981,19.260319, 2.411919,NOT_AVAILABLE,0,133.67164546702, 10.68578346161,0.7
133.50369241911,10.59467090799,1.2983,0.049,-27.307,0.049,-7.194,0.03, 2.84e-02,  0,1.03,16.022583, 1.308482,NOT_AVAILABLE,0,133.50381589049, 10.59470288056,0.8
133.50452571285,10.59460164764,1.0478,0.1528,-27.264,0.153,-7.507,0.099, 2.72e-02,  0,1.51,17.392853, 2.025566,NOT_AVAILABLE,0,133.50464898863, 10.59463501089,0.78
