ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
23.08334557303,84.23635630438, 572897514292535296,0.5304,0.0603,0.096,0.075,6.064,0.065, 7.51e-03,  0,1.029,17.152914, 1.325239,NOT_AVAILABLE,0, 1396.4059,0.8
24.2826861146,84.38835214235, 572905309656790144,0.5613,0.2119,-0.321,0.22,5.556,0.231, 2.56e-02,  0,0.973,19.162971, 1.465422,NOT_AVAILABLE,0,,0.78
25.6008630917,84.39839083664, 572925856780071424,0.5782,0.0096,2.736,0.011,6.475,0.012, 7.40e-03,  0,1.034,12.393823, 1.310002,NOT_AVAILABLE,0, 1945.7917,0.72
25.76913394703,84.4236061901, 572925998515718272,0.6367,0.3088,0.553,0.352,4.646,0.354, 1.99e-02,  0,1.032,19.732004, 1.703062,NOT_AVAILABLE,0,,0.54
25.7947238136,84.44504380596, 572926406536228224,0.5525,0.0629,-1.211,0.072,6.595,0.072, 1.66e-02,  0,1.019,17.350887, 1.129089,NOT_AVAILABLE,0, 1334.4772,0.8
26.06087775979,84.51909811227, 572928266258433408,0.4952,0.0258,3.155,0.03,8.842,0.032, 6.79e-03,  0,0.976,15.769036, 1.052775,NOT_AVAILABLE,0, 1576.9547,0.72
25.60999376971,84.5181936592, 572928365041362304,0.5384,0.2695,-2.12,0.318,7.566,0.323, 6.38e-03,  0,0.972,19.724096, 1.964294,NOT_AVAILABLE,0,,0.64
24.44212062031,84.48131984381, 572930224763447040,1.1928,0.0148,1.306,0.018,10.555,0.016, 8.85e-03,  0,0.916, 7.739821, 2.172759,NOT_AVAILABLE,0,,0.7
24.5258076214,84.49547284481, 572930254826922240,0.5373,0.2547,1.974,0.3,8.54,0.289, 1.13e-02,  0,1.024,19.573896, 2.084900,NOT_AVAILABLE,0,,0.72
24.37069224069,84.48524933754, 572930289187022464,1.1343,0.1589,0.928,0.187,10.36,0.177, 1.26e-02,  0,1.046,18.741678, 2.799204,NOT_AVAILABLE,0,  978.2034,0.7
24.19571643751,84.54105944508, 572930705799781760,0.5476,0.0357,0.303,0.042,4.602,0.04, 1.44e-02,  0,0.968,16.451622, 1.031738,NOT_AVAILABLE,0, 1298.8885,0.52
25.22323772866,84.55801960466, 572931633512787328,0.3485,0.1428,-0.072,0.158,5.795,0.164, 5.59e-03,  0,1.071,18.703495, 1.155872,NOT_AVAILABLE,0, 1723.6942,0.8
24.61260602912,84.63481697983, 572932904821197184,1.0432,0.0633,1.742,0.069,6.903,0.097, 2.46e-01, 75,5.743,13.956375, 0.955868,NOT_AVAILABLE,0,,0.72
27.27933432911,84.62640652089, 572935786744966400,0.1388,0.1044,0.733,0.111,4.592,0.126, 1.40e-02,  1,1.069,18.159657, 0.988411,NOT_AVAILABLE,0, 2049.1465,0.52
27.28461131044,84.64578946526, 572935825399098368,0.481,0.0436,1.169,0.05,6.937,0.055, 1.14e-02,  0,1.056,16.665562, 0.966303,NOT_AVAILABLE,0, 1369.8770,0.72
27.10466965839,84.68513840931, 572936203357966592,0.6526,0.0349,-1.706,0.039,7.564,0.043, 3.86e-03,  0,0.994,16.273682, 1.079859,NOT_AVAILABLE,0, 1773.2579,0.74
27.61926963456,84.69966235015, 572936473939767296,0.5006,0.2439,-1.252,0.261,4.438,0.301, 8.39e-02,  0,3.355,17.513475, 0.921549,NOT_AVAILABLE,0, 1679.8307,0.5
26.62029127864,84.73601292627, 572937332933224960,0.4644,0.1493,-2.104,0.166,6.97,0.187, 1.95e-02,  0,1.03,18.835220, 1.927299,NOT_AVAILABLE,0,  679.0720,0.74
27.09118777343,84.74719016142, 572937573451398144,1.2779,0.0708,-0.519,0.078,10.296,0.088, 1.04e-02,  0,0.915,17.587809, 2.135849,NOT_AVAILABLE,0, 1023.8577,0.58
24.9395641272,84.70309657823, 572939360157984000,1.4594,0.1642,4.944,0.196,10.817,0.22, 2.98e-02,  0,1.125,19.064638, 2.632273,NOT_AVAILABLE,0,,0.7
25.59522597247,84.75101579711, 572939806834587264,0.5114,0.0597,-1.442,0.072,6.37,0.073, 1.12e-02,  0,0.967,17.478252, 1.198667,NOT_AVAILABLE,0, 1307.9200,0.78
26.16011018398,84.72909406957, 572940184791709696,0.4169,0.1716,-2.677,0.214,5.831,0.224, 2.92e-03,  0,0.99,19.034216, 1.775246,NOT_AVAILABLE,0,,0.8
26.05918367834,84.77264553261, 572940597108574720,0.7459,0.2157,1.293,0.276,8.44,0.28, 1.70e-02,  0,1.037,19.414536, 1.813440,NOT_AVAILABLE,0,,0.72
26.14663314787,84.79063007853, 572941009425437824,0.1416,0.077,1.207,0.087,4.694,0.093, 6.67e-03,  0,0.941,17.863092, 1.096539,NOT_AVAILABLE,0, 1349.0698,0.56
25.42529462867,84.77739945385, 572941490461768960,0.3892,0.1112,1.452,0.132,4.655,0.141, 7.79e-03,  0,0.969,18.557587, 1.249826,NOT_AVAILABLE,0, 1573.0500,0.52
26.03649241624,84.80644455965, 572941765339684480,0.319,0.123,-0.217,0.139,7.599,0.151, 4.88e-03,  0,1.051,18.500216, 1.687542,NOT_AVAILABLE,0,  945.4185,0.72
25.92023116149,84.80146973783, 572941769633794944,0.446,0.3306,-1.412,0.391,6.392,0.428, 9.74e-03,  0,1.01,20.027699, 2.240919,NOT_AVAILABLE,0,,0.78
28.07867766734,84.77603104912, 573030928859856512,1.2517,0.1719,4.928,0.197,7.115,0.216, 1.90e-02,  0,0.978,18.974604, 2.392916,NOT_AVAILABLE,0,  732.1281,0.72
27.29956400433,84.78756812424, 573031585992005504,0.1577,0.74,3.524,1.032,6.569,0.898, 2.47e-02,  0,0.985,20.592018, 1.110367,NOT_AVAILABLE,0,,0.64
27.34951352933,84.81040652201, 573031620351426944,0.6694,0.0686,0.932,0.074,4.398,0.092, 8.85e-03,  0,1.041,17.417610, 1.362934,NOT_AVAILABLE,0, 1409.9185,0.52
28.37045517951,84.83874566201, 573032685502323968,0.6479,0.4856,-2.246,0.591,5.502,0.686, 1.84e-02,  1,1.083,20.278046, 1.669613,NOT_AVAILABLE,0,,0.56
27.99457424696,84.88438702231, 573033746358949376,0.4016,0.2199,-1.527,0.275,4.504,0.277, 8.67e-02,  0,1.133,19.203209, 2.008728,NOT_AVAILABLE,0,,0.68
27.59907991142,84.88319875515, 573033888094149504,0.6375,0.0566,4.499,0.072,7.35,0.073, 2.41e-02,  0,1.03,17.091260, 1.194069,NOT_AVAILABLE,0, 1177.2391,0.72
28.22910605418,84.92887923494, 573034296114785792,0.9136,0.1328,-2.149,0.157,5.045,0.172, 2.88e-02,  0,1.06,18.579704, 1.920235,NOT_AVAILABLE,0,  746.9872,0.82
26.96366351347,84.84552830016, 573035223827671424,0.0466,0.2848,-1.826,0.34,8.968,0.359, 1.42e-02,  0,0.996,19.758438, 1.912104,NOT_AVAILABLE,0,,0.7
26.80889279589,84.89360040948, 573035640440805376,0.4191,0.0216,1.418,0.026,4.746,0.027, 1.37e-02,  0,0.977,15.305067, 1.198620,NOT_AVAILABLE,0, 1620.3134,0.5
26.12465751662,84.88262779338, 573035984038191360,0.5257,0.0343,-0.398,0.039,6.394,0.041, 1.60e-03,  0,1.003,16.240213, 1.041718,NOT_AVAILABLE,0, 1553.3179,0.72
26.00640655465,84.89489144286, 573036190197332224,1.1403,0.1097,1.103,0.135,7.254,0.131, 3.13e-02,  0,1.151,17.976042, 2.365183,NOT_AVAILABLE,0,  576.2609,0.72
26.3849334637,84.94763604377, 573036774312163328,0.6555,0.0982,3.468,0.115,5.683,0.128, 1.14e-02,  0,1.02,18.131224, 1.629871,NOT_AVAILABLE,0,  877.9591,0.64
27.56444306923,84.93444189797, 573037427147193728,0.7813,0.0258,0.542,0.029,3.944,0.032, 1.87e-02,  0,1.085,15.546060, 1.025999,NOT_AVAILABLE,0, 1163.5995,0.56
26.77609136131,84.97440395703, 573038183061431552,0.2396,0.069,-0.43,0.073,8.649,0.086, 1.70e-02,  0,0.98,17.509167, 0.851503,NOT_AVAILABLE,0, 1850.8691,0.7
26.5071368359,84.97618451286, 573038281844425344,0.388,0.139,-1.156,0.163,6.014,0.17, 1.71e-02,  1,1.004,18.781057, 1.540558,NOT_AVAILABLE,0,  939.8354,0.76
26.5497158517,85.00876795734, 573038865959991424,0.4292,0.0278,0.949,0.034,4.575,0.033, 1.64e-02,  1,0.986,15.918109, 1.002630,NOT_AVAILABLE,0, 1477.2415,0.52
