ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,NSS,prob
166.90303611999,-60.17780524496,2.1006,0.0096,-16.469,0.01,4.55,0.011, 2.21e-02,  1,0.854,12.538344, 0.787483,0,0.84
166.71516938268,-60.15983931131,1.3014,0.0925,-13.267,0.104,0.666,0.097, 1.22e-02,  0,1.06,17.787037, 2.113981,0,0.6
166.71317779783,-60.13764402977,1.8057,0.0592,-16.477,0.063,8.801,0.066, 1.30e-02,  0,1.046,17.138159, 2.171087,0,0.84
166.76608705863,-60.10513308147,1.8553,0.0391,-22.069,0.044,-4.162,0.045, 2.02e-02,  0,0.985,16.378965, 1.640663,0,0.84
167.34875369751,-60.12047833299,2.1183,0.0134,-19.721,0.014,10.878,0.013, 3.40e-02,  0,0.838,10.195543, 0.297881,0,0.64
167.30884361077,-60.12157368323,1.5176,0.061,-8.933,0.065,6.199,0.061, 1.24e-02,  0,0.978,17.117802, 1.904879,0,0.78
167.29255234373,-60.10746139944,3.1538,0.0649,2.382,0.068,6.848,0.059, 6.38e-03,  2,1.256,16.911966, 2.520345,0,0.84
167.23398143104,-60.08548136161,1.7366,0.081,-11.578,0.089,3.214,0.078, 5.62e-03,  0,1.024,17.625532, 2.160646,0,0.84
167.65646781878,-60.04000345483,2.0369,0.0412,-12.592,0.041,3.003,0.039, 1.21e-02,  0,1.001,16.401217, 1.848881,0,0.84
167.55097073526,-60.06759129049,2.3362,0.5443,-6.736,0.549,0.745,0.495, 1.11e-01, 51,20.871,15.346189, 1.000202,0,0.72
167.5131127559,-60.04650828809,1.3313,0.0289,-18.145,0.029,0.395,0.026, 1.72e-02,  0,0.961,15.696920, 1.278392,0,0.52
167.56318424714,-60.05173703282,1.6437,0.0868,-10.273,0.086,0.555,0.077, 1.05e-02,  0,1.013,17.743210, 2.161547,0,0.82
167.63699396356,-60.0029987783,2.3007,0.0099,-22.914,0.01,2.664,0.01, 1.67e-02,  0,0.812,12.495988, 0.892058,0,0.74
